Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Clicked on Ad,month,day,hour
62.26,32.0,69481.85,172.83,96,234,1,174,0,5,8,21
41.73,31.0,61840.26,207.17,301,460,1,166,0,0,15,17
44.4,30.0,57877.15,172.83,484,379,0,71,0,5,28,10
59.88,28.0,56180.93,207.17,24,269,0,205,0,5,20,14
49.21,30.0,54324.73,201.58,484,495,0,149,1,6,20,10
51.3,26.0,51463.17,131.68,157,361,0,29,0,4,14,13
66.08,43.0,73538.09,136.4,300,355,1,187,1,3,2,21
36.08,26.0,74903.41,228.78,363,75,1,59,0,2,10,6
46.14,33.0,43974.49,196.77,82,189,1,200,0,2,23,6
51.65,51.0,74535.94,188.56,182,90,0,29,0,0,30,5
47.64,29.0,53431.35,200.71,101,64,0,27,0,2,8,0
65.07,34.0,34191.23,187.09,482,367,1,50,1,3,4,18
55.6,24.0,52252.91,167.22,52,298,0,75,1,5,10,6
62.26,25.0,50671.6,138.71,224,258,1,81,0,2,17,13
78.84,27.0,69646.35,239.32,164,161,0,171,0,4,20,1
56.39,40.0,40468.53,140.46,230,316,0,191,1,0,2,16
54.43,39.0,56180.93,124.44,222,450,0,156,0,0,2,7
60.23,43.0,31092.93,234.26,300,517,1,136,1,3,2,21
41.73,31.0,61840.26,207.17,530,269,1,166,0,5,20,14
89.05,38.0,57868.44,170.13,470,436,1,203,1,0,14,19
56.39,46.0,54286.1,193.29,59,381,0,117,1,1,27,23
39.96,45.0,59886.58,174.88,426,118,0,152,1,2,4,12
59.22,28.0,53058.91,217.37,489,260,0,104,0,4,29,18
47.74,33.0,68094.85,188.56,143,281,1,200,0,3,17,15
86.06,35.0,73889.99,158.29,85,411,1,20,0,2,17,13
55.6,30.0,58677.69,184.88,344,298,0,75,1,4,5,21
61.22,25.0,50506.44,194.95,19,461,0,156,0,0,2,7
60.53,33.0,68094.85,162.03,459,159,0,84,0,5,9,11
90.97,31.0,38817.4,171.23,19,306,0,5,0,5,9,3
41.73,28.0,71222.4,217.37,40,128,0,62,0,1,14,16
74.59,27.0,36884.23,214.42,32,105,0,171,0,6,2,4
47.48,29.0,57545.56,216.49,242,37,0,27,0,0,15,16
40.47,35.0,54429.17,236.87,302,345,0,157,1,5,20,3
54.88,21.0,61009.1,157.04,180,430,0,82,0,0,16,15
82.07,41.0,57846.68,187.76,367,484,1,80,1,4,12,11
59.22,40.0,40468.53,140.46,281,351,0,45,1,6,0,1
82.07,22.0,51363.16,180.47,350,303,1,179,0,4,30,23
57.24,33.0,49101.67,120.75,48,279,1,0,1,2,23,6
44.33,39.0,48335.2,258.62,47,506,0,118,1,2,14,6
41.73,31.0,59886.58,207.17,301,318,1,60,0,2,29,14
71.03,31.0,40182.84,207.17,93,268,0,62,1,0,30,6
89.05,55.0,38260.89,187.76,332,41,0,185,1,3,20,9
55.6,35.0,73889.99,236.87,421,516,0,125,0,5,10,6
42.04,37.0,67132.46,139.32,548,196,0,41,0,4,20,1
43.49,37.0,51691.55,217.37,450,337,0,9,1,5,16,17
51.24,36.0,32549.95,109.07,295,519,1,2,0,3,26,4
68.01,33.0,41547.62,204.02,82,281,1,200,0,6,8,11
46.61,29.0,53431.35,227.37,459,407,0,68,1,4,11,21
82.07,43.0,52563.22,121.28,411,308,0,14,1,3,16,21
63.45,32.0,57691.95,178.92,35,234,1,99,0,2,30,20
36.56,46.0,40468.53,229.12,171,519,0,17,1,3,3,8
51.56,29.0,56113.37,208.05,5,514,0,27,0,5,18,22
52.84,42.0,60514.05,199.43,541,136,1,44,1,1,14,16
47.74,52.0,32635.7,186.37,35,336,1,42,1,6,18,8
65.77,34.0,59785.94,168.34,45,182,1,126,0,1,26,8
56.39,46.0,40468.53,253.48,20,304,0,17,0,3,5,14
76.64,31.0,56180.93,207.17,152,344,0,41,0,5,20,14
57.99,34.0,40763.13,168.34,45,188,1,126,0,1,7,14
55.92,42.0,60514.05,236.87,265,384,0,107,0,3,5,11
70.09,45.0,59610.81,227.73,426,27,0,23,1,3,7,14
72.23,30.0,57877.15,244.91,65,333,1,20,0,4,7,10
61.22,28.0,39799.73,212.87,437,269,1,15,0,6,7,3
55.6,35.0,42993.48,221.18,302,144,1,81,0,2,17,13
59.05,33.0,43974.49,135.67,70,34,1,200,1,2,23,6
55.79,22.0,21644.91,136.21,180,41,0,23,0,6,2,4
68.01,33.0,49101.67,204.27,153,418,1,200,1,1,5,17
59.51,40.0,66574.0,232.78,437,284,1,66,0,2,17,13
81.32,49.0,39031.89,195.69,450,464,1,128,1,3,3,20
63.45,45.0,59886.58,187.76,122,248,1,187,1,1,4,16
72.19,39.0,58287.86,225.99,33,318,1,81,0,3,6,15
53.68,37.0,23936.86,109.29,322,111,1,18,0,6,7,3
41.73,28.0,67301.39,120.49,119,128,0,3,0,5,20,14
82.07,43.0,32635.7,198.45,300,508,1,187,1,3,2,21
43.49,37.0,23936.86,195.69,60,25,0,9,0,0,4,16
48.03,40.0,63394.41,221.98,59,519,0,1,1,6,12,16
49.42,45.0,69428.73,252.36,462,184,0,149,0,3,5,11
53.92,28.0,70492.6,221.79,241,221,1,105,0,2,16,5
73.1,26.0,56694.12,131.68,54,406,0,10,0,4,14,13
54.08,31.0,56180.93,240.64,24,197,1,41,0,5,1,21
46.61,50.0,49957.0,122.31,411,359,0,14,1,3,3,18
34.3,34.0,34191.23,187.09,45,367,1,50,1,3,4,18
55.6,39.0,37334.78,209.91,275,5,1,121,1,0,7,9
82.07,55.0,57868.44,187.76,226,136,1,136,1,3,20,9
56.39,46.0,69646.35,198.5,342,415,1,86,0,5,11,21
54.97,29.0,53431.35,217.1,38,59,1,191,0,0,13,0
75.55,39.0,48335.2,258.62,47,506,0,118,1,4,7,22
44.78,25.0,50506.44,241.03,335,117,1,195,0,3,27,2
73.19,33.0,74535.94,120.75,182,469,0,29,0,0,13,9
54.88,50.0,39616.0,226.79,153,508,1,85,1,3,2,21
55.6,36.0,18368.57,115.26,488,509,1,125,1,0,2,16
43.49,37.0,66187.58,190.17,327,316,0,157,1,1,9,19
74.59,42.0,60514.05,238.58,212,207,0,44,1,3,5,11
